Text A,Text B,Threshold,Cutoff,N-Grams,Num Matches,Text A Length,Text B Length,Locations in A,Locations in B
102:"/home/jon/Code/corpus-joyce-finnegans-wake-tei/finnegans-wake-tei/finnegans-wake.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_25473839.txt","3","5","3","1","2637332","45234","[(1220539, 1220594)]","[(5567, 5622)]"
143:"/home/jon/Code/corpus-joyce-finnegans-wake-tei/finnegans-wake-tei/finnegans-wake.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_3847642.txt","3","5","3","1","2637332","18179","[(1809363, 1809522)]","[(11067, 11180)]"
747:"/home/jon/Code/corpus-joyce-finnegans-wake-tei/finnegans-wake-tei/finnegans-wake.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_25477812.txt","3","5","3","1","2637332","53738","[(696631, 696793)]","[(35232, 35348)]"
1278:"/home/jon/Code/corpus-joyce-finnegans-wake-tei/finnegans-wake-tei/finnegans-wake.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_40755287.txt","3","5","3","1","2637332","64174","[(2269376, 2269532)]","[(35419, 35529)]"
1297:"/home/jon/Code/corpus-joyce-finnegans-wake-tei/finnegans-wake-tei/finnegans-wake.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_40232410.txt","3","5","3","1","2637332","63223","[(2636788, 2636837)]","[(51392, 51441)]"
1438:"/home/jon/Code/corpus-joyce-finnegans-wake-tei/finnegans-wake-tei/finnegans-wake.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_25477866.txt","3","5","3","2","2637332","43933","[(746575, 746630), (749719, 749874)]","[(30563, 30618), (30834, 30943)]"
1526:"/home/jon/Code/corpus-joyce-finnegans-wake-tei/finnegans-wake-tei/finnegans-wake.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/1/ocr/journal-article-10.2307_23342806.txt","3","5","3","2","2637332","41022","[(718547, 718607), (2208428, 2208584)]","[(21646, 21706), (28893, 29003)]"
1870:"/home/jon/Code/corpus-joyce-finnegans-wake-tei/finnegans-wake-tei/finnegans-wake.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/2/ocr/journal-article-10.2307_26267276.txt","3","5","3","3","2637332","71150","[(924128, 924285), (996484, 996538), (996962, 997162)]","[(34984, 35095), (40807, 40861), (41064, 41181)]"
1911:"/home/jon/Code/corpus-joyce-finnegans-wake-tei/finnegans-wake-tei/finnegans-wake.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/2/ocr/journal-article-10.2307_25486417.txt","3","5","3","2","2637332","22755","[(1736115, 1736305), (2603907, 2604065)]","[(11454, 11644), (19628, 19740)]"
1921:"/home/jon/Code/corpus-joyce-finnegans-wake-tei/finnegans-wake-tei/finnegans-wake.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/2/ocr/journal-article-10.2307_25484963.txt","3","5","3","3","2637332","34683","[(747126, 747285), (747718, 747772), (747982, 748136)]","[(20538, 20651), (20864, 20918), (21000, 21108)]"
1941:"/home/jon/Code/corpus-joyce-finnegans-wake-tei/finnegans-wake-tei/finnegans-wake.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/2/ocr/journal-article-10.2307_30075986.txt","3","5","3","1","2637332","7708","[(341888, 342052)]","[(3517, 3636)]"
1961:"/home/jon/Code/corpus-joyce-finnegans-wake-tei/finnegans-wake-tei/finnegans-wake.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/2/ocr/journal-article-10.2307_25473912.txt","3","5","3","1","2637332","84209","[(267405, 267588)]","[(54491, 54592)]"
2390:"/home/jon/Code/corpus-joyce-finnegans-wake-tei/finnegans-wake-tei/finnegans-wake.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/2/ocr/journal-article-10.2307_26798631.txt","3","5","3","3","2637332","93902","[(878989, 879190), (879529, 879582), (2636788, 2636837)]","[(69347, 69465), (69604, 69657), (76422, 76471)]"
2502:"/home/jon/Code/corpus-joyce-finnegans-wake-tei/finnegans-wake-tei/finnegans-wake.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/2/ocr/journal-article-10.2307_25089215.txt","3","5","3","2","2637332","27580","[(15316, 15375), (1575411, 1575566)]","[(17258, 17317), (24172, 24281)]"
2721:"/home/jon/Code/corpus-joyce-finnegans-wake-tei/finnegans-wake-tei/finnegans-wake.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/2/ocr/journal-article-10.5325_complitstudies.49.1.0001.txt","3","5","3","1","2637332","57912","[(267405, 267588)]","[(22065, 22166)]"
2817:"/home/jon/Code/corpus-joyce-finnegans-wake-tei/finnegans-wake-tei/finnegans-wake.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/2/ocr/journal-article-10.2307_462046.txt","3","5","3","1","2637332","108028","[(1126510, 1126568)]","[(52096, 52154)]"
2910:"/home/jon/Code/corpus-joyce-finnegans-wake-tei/finnegans-wake-tei/finnegans-wake.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/2/ocr/journal-article-10.2307_26283623.txt","3","5","3","1","2637332","68864","[(254167, 254220)]","[(49645, 49698)]"
2981:"/home/jon/Code/corpus-joyce-finnegans-wake-tei/finnegans-wake-tei/finnegans-wake.xml","/home/jon/Code/corpus-joyce-finnegans-wake-tei/criticism-analysis/2/ocr/journal-article-10.2307_26288742.txt","3","5","3","1","2637332","79494","[(18856, 18913)]","[(43648, 43705)]"
